Company,Model,Car,Minimal price (gross) [PLN],Engine power [KM],Maximum torque [Nm],Type of brakes,Drive type,Battery capacity [kWh],Range (WLTP) [km],Wheelbase [cm],Length [cm],Width [cm],Height [cm],Minimal empty weight [kg],Permissable gross weight [kg],Maximum load capacity [kg],Number of seats,Number of doors,Tire size [in],Maximum speed [kph],Boot capacity (VDA) [l],Acceleration 0-100 kph [s],Maximum DC charging power [kW],mean - Energy consumption [kWh/100 km]
Porsche,taycan 4s (performance plus),Porsche taycan 4s (performance plus),482283,490,650,disc (front + rear),4WD,93.4,463,290,496.3,196.6,137.9,2295,2880,660,4,4,19,250,488,4,270,24.1
Porsche,taycan turbo,Porsche taycan turbo,653000,625,850,disc (front + rear),4WD,93.4,450,290,496.3,196.6,138.1,2380,2880,575,4,4,20,260,447,3.2,270,24.85
Porsche,taycan turbo s,Porsche taycan turbo s,794000,625,1050,disc (front + rear),4WD,93.4,412,290,496.3,196.6,137.8,2370,2870,575,4,4,21,260,447,2.8,270,25.1
Porsche,taycan turbo s,Porsche taycan turbo s,,625,1050,disc (front + rear),4WD,93.4,375,,,,,,,,4,,,260,,2.8,780,
Porsche,taycan 4s,Porsche taycan 4s,,435,640,disc (front + rear),4WD,79.2,365,,,,,,,,4,,,250,,4,730,
Porsche,taycan 4s plus,Porsche taycan 4s plus,,490,650,disc (front + rear),4WD,93.4,425,,,,,,,,4,,,250,,4,890,
Porsche,taycan cross turismo,Porsche taycan cross turismo,,375,1050,disc (front + rear),4WD,93.4,385,,,,,,,,4,,,250,,3.5,770,
Porsche,taycan turbo,Porsche taycan turbo,,625,1050,disc (front + rear),4WD,93.4,390,,,,,,,,4,,,260,,3.2,810,
Renault,zoe r110,Renault zoe r110,135900,108,225,disc (front + rear),2WD,52,395,258.8,408.5,178.7,156.2,1502,1988,425,5,5,15,135,338,11.4,,16.5
Renault,zoe r135,Renault zoe r135,142900,135,245,disc (front + rear),2WD,52,395,258.8,408.5,178.7,156.2,1502,1988,486,5,5,16,140,338,9.5,50,16.5
Renault,zoe ze50 r110,Renault zoe ze50 r110,,108,225,disc (front + rear),2WD,52,315,,,,,,,,5,,,135,,11.4,230,
Renault,zoe ze50 r135,Renault zoe ze50 r135,,135,245,disc (front + rear),2WD,52,310,,,,,,,,5,,,140,,9.5,230,
Renault,twingo ze,Renault twingo ze,,60,160,disc (front + rear),2WD,52,130,,,,,,,,4,,,135,,12.6,,
Renault,zoe ze40 r110,Renault zoe ze40 r110,,108,225,disc (front + rear),2WD,52,255,,,,,,,,5,,,135,,11.4,230,
Renault,kangoo maxi ze 33,Renault kangoo maxi ze 33,,44,225,disc (front + rear),2WD,52,160,,,,,,,,5,,,130,,22.4,,
